Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
BIRC6	baculoviral IAP repeat containing 6	57448	2:32357162-32617904	2		2p22.3	yes		"melanoma, gastric adenocarcinoma, lung adenocarcinoma"			E		"oncogene, fusion"	"T, Mis"	ALK			"57448,BIRC6,ENSG00000115760,Q9NR09"
BMP5	bone morphogenetic protein 5	653	6:55755533-55874865	2		6p12.1	yes		melanoma			E			Mis				"653,BMP5,ENSG00000112175,P22003"
C15orf65	chromosome 15 open reading frame 65	145788	15:-	2		15q21.3	yes		"PMBL, Hodgkin lymphoma"			L	Dom	fusion	T	CIITA			
CASP3	caspase 3	836	4:184629272-184638453	2		4q35.1	yes		ovarian cancer			E		TSG	D				"836,CASP3,ENSG00000164305,P42574"
CASP9	caspase 9	842	1:15492943-15524200	2		1p36.21	yes		glioma			O		TSG	D				"842,CASP9,ENSG00000132906,P55211"
CCNC	cyclin C	892	6:99991431-100010824	2		6q16.2	yes		T-ALL			L		TSG	D				
CCR4	C-C motif chemokine receptor 4	1233	3:32953423-32954505	2		3p22.3	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"1233,CCR4,ENSG00000183813,P51679"
CCR7	C-C motif chemokine receptor 7	1236	17:40554742-40565409	2		17q21.2	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"1236,CCR7,CMKBR7,EBI1,ENSG00000126353,P32248"
CD209	CD209 molecule	30835	19:7743039-7747511	2		19p13.2	yes		prostate carcinoma			E			Mis				"30835,CD209,ENSG00000090659,Q9NNX6"
CD28	CD28 molecule	940	2:203706697-203734912	2		2q33.2	yes		T-cell lymphoma			L		oncogene	Mis				"940,CD28,ENSG00000178562,P10747"
CDH10	cadherin 10	1008	5:24487663-24593490	2		5p14.2-p14.1	yes	yes	melanoma	pancreatic ductal adenocarcinoma		E		TSG	"Mis, F, N"				"1008,CDH10,ENSG00000040731,Q9Y6N8"
CDH17	cadherin 17	1015	8:94128240-94194685	2		8q22.1	yes		melanoma			E		oncogene	Mis				"1015,CDH17,ENSG00000079112,Q12864"
CDKN1A	cyclin dependent kinase inhibitor 1A	1026	6:36684102-36685800	2		6p21.2	yes		bladder cancer			E		"oncogene, TSG"	"F, N"				"1026,CDKN1,CDKN1A,ENSG00000124762,P38936"
CEP89	centrosomal protein 89kDa	84902	19:32879162-32971874	2		19q13.11	yes		Spitzoid tumour			E	Dom	fusion	T	BRAF			"84902,CCDC123,CEP89,ENSG00000121289,Q96ST8"
CHD2	chromodomain helicase DNA binding protein 2	1106	15:92901238-93020325	2		15q26.1	yes		"melanoma, large intestine, CLL, monoclonal B lymphocytosis"			"E, L"		TSG	"Mis, F, N"				"1106,CHD2,ENSG00000173575,O14647"
CHIC2	cysteine-rich hydrophobic domain 2	26511	4:54010095-54064300	2		4q11-q12	yes		AML			L	Dom	fusion	T	ETV6			"26511,CHIC2,ENSG00000109220,Q9UKJ5"
CHST11	carbohydrate sulfotransferase 11	50515	12:104457412-104757803	2		12q23.3	yes		B-CLL			L		"oncogene, fusion"	T				"50515,CHST11,ENSG00000171310,Q9NPF2"
CLP1	cleavage and polyadenylation factor I subunit 1	10978	11:57659477-57661436	2		11q12	yes		AML			L	Dom	fusion	T	KMT2A			"10978,CLP1,ENSG00000172409,Q92989"
CNBD1	cyclic nucleotide binding domain containing 1	168975	8:86866496-87382627	2		8q21.3	yes		"gastric cancer, colon cancer"			E			Mis				"168975,CNBD1,ENSG00000176571,Q8NA66"
CNTNAP2	contactin associated protein like 2	26047	7:146116877-148415616	2		7q35-q36.1	yes		"glioma, melanoma"			"E, O"		TSG	Mis				"26047,CNTNAP2,ENSG00000174469,Q9UHC6"
COL3A1	collagen type III alpha 1 chain	1281	2:188974490-189011774	2		2q32.2	yes		lipoblastoma			E		fusion	T	PLAG1			"1281,COL3A1,EDS4A,ENSG00000168542,P02461"
COX6C	cytochrome c oxidase subunit VIc	1345	8:99878148-99892021	2		8q22-q23	yes		uterine leiomyoma			M	Dom	fusion	T	HMGA2			"1345,COX6C,ENSG00000164919,P09669"
CPEB3	cytoplasmic polyadenylation element binding protein 3	22849	10:92052212-92240350	2		10q23.32	yes		lung cancer			E		TSG	D				"22849,CPEB3,ENSG00000107864,Q8NE35"
CRNKL1	crooked neck pre-mRNA splicing factor 1	51340	20:20036195-20056014	2		20p11.23	yes		base cell carcinoma			E			Mis				"51340,CRNKL1,ENSG00000101343,Q9BZJ0"
CSF1R	colony stimulating factor 1 receptor	1436	5:150054069-150086427	2		5q32	yes		"MDS, CML, AML, hemangioblastoma, CCRCC"			"L, M, E"		oncogene	"Mis, N"		yes	diffuse leukoencephalopathy with spheroids	"1436,CSF1R,ENSG00000182578,FMS,P07333"
CSMD3	CUB and Sushi multiple domains 3	114788	8:112224771-113436854	2		8q23.3	yes		"ovarian cancer, oral SCC, lung cancer"			E		TSG	"Mis, N"				"114788,CSMD3,ENSG00000164796,Q7Z407"
CTNNA2	catenin alpha 2	1496	2:-	2		2p12	yes		gastric cancer			E		oncogene	"Mis, S"				
CTNND1	catenin delta 1	1500	11:57791479-57816308	2		11q12.1	yes		large intestine carcinoma			E			N				"1500,CTNND,CTNND1,ENSG00000198561,O60716"
CTNND2	catenin delta 2	1501	5:10973453-11903853	2		5p15.2	yes		"prostae adenocarcinoma, GIST"			E		oncogene	Mis				"1501,CTNND2,ENSG00000169862,Q9UQB3"
CUL3	cullin 3	8452	2:224474245-224585009	2		2q36.2	yes		lung cancer			E		TSG	N				"8452,CUL3,ENSG00000036257,Q13618"
CYP2C8	cytochrome P450 family 2 subfamily C member 8	1558	10:95037128-95069402	2		10q23.33	yes		melanoma			E			Mis				"1558,CPC8,CYP2C8,ENSG00000138115,P450 MP-12/MP-20,P450MP-12/MP-20"
CYSLTR2	cysteinyl leukotriene receptor 2	57105	13:48706818-48707858	2		13q14.2	yes		uveal melanoma			E		oncogene	Mis				"57105,CYSLTR2,ENSG00000152207,Q9NS75"
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	340578	X:126164533-126165924	2		Xq25	yes		CRC			E			Mis				"340578,DCAF12L2,ENSG00000198354,Q5VW00,WDR40C"
DCC	DCC netrin 1 receptor	1630	18:52340788-53530653	2		18q21.2	yes		"CRC, melanoma, SCC"			E			"Mis, N, D"				"1630,DCC,ENSG00000187323,P43146"
DGCR8	"DGCR8, microprocessor complex subunit"	54487	22:20085964-20110108	2		22q11.21	yes		Wilms tumour			O		oncogene	Mis				"54487,C22orf12,DGCR8,ENSG00000128191,Q8WYQ5"
DUX4L1	double homeobox 4 like 1	22947	4:190084229-190085686	2		4q35	yes		soft tissue sarcoma			M	Dom	fusion	T	CIC			"22947,DUX4,ENSG00000258389"
ECT2L	epithelial cell transforming sequence 2 oncogene-like	345930	6:138813275-138902627	2		6q24.1	yes		ETP ALL			L	Rec		"N, S, Mis"				"345930,C6orf91,ECT2L,ENSG00000203734,Q008S8"
EED	embryonic ectoderm development	8726	11:86245230-86278525	2		11q14.2	yes		"malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma"			"E, L"		TSG	"Mis, F"				"8726,EED,ENSG00000074266,O75530"
EIF1AX	"eukaryotic translation initiation factor 1A, X-linked"	1964	X:20128306-20141640	2		Xp22.12	yes		"uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer"			E			"Mis, S"				"1964,EIF1A,EIF1AX,EIF4C,ENSG00000173674,P47813"
ELF3	E74 like ETS transcription factor 3	1999	1:202011137-202015323	2		1q32.1	yes		pancreatic cancer			E		TSG	"Mis, N, F"				"1999,ELF3,ENSG00000163435,ESX,P78545"
ELN	elastin	2006	7:74028188-74068700	2		7q11.23	yes		B-ALL			L	Dom	fusion	T	PAX5	yes	"Supravalvular Aortic Stenosis, Cutis laxa , Williams-Beuren Syndrome"	"2006,ELN,ENSG00000049540,P15502"
EPHA3	EPH receptor A3	2042	3:89107749-89479502	2		3p11.1	yes		"lung cancer, CRC, melanoma"			E			Mis				"2042,ENSG00000044524,EPHA3,ETK,ETK1,P29320,TYRO4"
EPHA7	EPH receptor A7	2045	6:93243426-93419341	2		6q16.1	yes		"CRC, melanoma"			E			Mis				"2045,ENSG00000135333,EPHA7,Q15375"
FAM131B	"family with sequence similarity 131, member B"	9715	7:143356550-143360093	2		7q34	yes		pilocytic astrocytoma			O	Dom	fusion	T	BRAF			"9715,ENSG00000159784,FAM131B,Q86XD5"
FAM135B	family with sequence similarity 135 member B	51059	8:138132593-138367983	2		8q24.23	yes		SCLC			E			Mis				"51059,ENSG00000147724,FAM135B,Q49AJ0"
FAM47C	family with sequence similarity 47 member C	442444	X:37008411-37011518	2		Xp21.1	yes		"melanoma, clear cell sarcoma of soft parts, SCLC"			"E, M"			Mis				"442444,ENSG00000198173,FAM47C,Q5HY64"
FAT3	FAT atypical cadherin 3	120114	11:92837714-92891113	2		11q14.3	yes		"SCC, colon adenocarcinoma, gastric adenocarcinoma"			E			Mis				"120114,ENSG00000165323,FAT3,Q8TDW7"
FBLN2	fibulin 2	2199	3:13618090-13637919	2		3p25.1	yes		"breast cancer, colorectal adenocarcinoma"			E		TSG	"Mis, S"				"2199,ENSG00000163520,FBLN2,P98095"
FEN1	flap structure-specific endonuclease 1	2237	11:61795362-61796504	2		11q12.2		yes		breast cancer		E		TSG					"2237,ENSG00000168496,FEN1,P39748,RAD2"
FKBP9	FK506 binding protein 9	11328	7:32957574-33005351	2		7p14.3	yes		glioma			O			Mis				"11328,ENSG00000122642,FKBP9,O95302"
FLNA	filamin A	2316	X:154348849-154371245	2		Xq28	yes		phyllodes tumour of the breast			E			"Mis, F, O"				"2316,ENSG00000196924,FLN,FLN1,FLNA,OPD1,OPD2,P21333"
FNBP1	formin binding protein 1 (FBP17)	23048	9:129890539-130042975	2		9q23	yes		AML			L	Dom	fusion	T	KMT2A			"23048,ENSG00000187239,FNBP1"
FOXR1	forkhead box R1	283150	11:118971932-118981236	2		11q23.3	yes		neuroblastoma			O		"oncogene, fusion"	T				"283150,ENSG00000176302,FOXR1,Q6PIV2"
GLI1	GLI family zinc finger 1	2735	12:57463692-57472061	2		12q13.3	yes		"CRC, oesophagus cancer"			E		"oncogene, fusion"	"T, F"		yes	IBD	"2735,ENSG00000111087,GLI,GLI1,P08151"
GMPS	guanine monphosphate synthetase	8833	3:155870871-155937692	2		3q24	yes		AML			L	Dom	fusion	T	KMT2A			"8833,ENSG00000163655,GMPS,P49915"
GPC5	glypican 5	2262	13:91399047-92866439	2		13q31.3	yes		lung adenocarcinoma			E		TSG	D				"2262,ENSG00000179399,GPC5,P78333"
GRM3	glutamate metabotropic receptor 3	2913	7:86765146-86864355	2		7q21.11-q21.12	yes		"melanoma, oral SCC"			E		oncogene	"Mis, A"				"2913,ENSG00000198822,GRM3,Q14832"
HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46	283651	15:-	2		15q21.1	yes		prostate			E	Dom	fusion	T	ETV1			
ID3	"inhibitor of DNA binding 3, HLH protein"	3399	1:23558960-23559426	2		1p36.12	yes		Burkitt lymphoma			L		TSG	"Mis, N"				"3399,ENSG00000117318,ID3,Q02535"
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	10644	3:185645531-185824960	2		3q27.2	yes		lymphoma			L		TSG	D		yes	"Diabetes mellitus, noninsulin-dependent, susceptibility"	"10644,ENSG00000073792,IGF2BP2,Q9Y6M1"
ISX	intestine specific homeobox	91464	22:35067088-35085693	2		22q12.3	yes		melanoma			E			Mis				"91464,ENSG00000175329,ISX,Q2M1V0"
ITGAV	integrin subunit alpha V	3685	2:186590339-186677292	2		2q32.1	yes		large intestine carcinoma			E			F				"3685,ENSG00000138448,ITGAV,MSK8,P06756,VNRA,VTNR"
JAZF1	juxtaposed with another zinc finger gene 1	221895	7:27832800-28180577	2		7p15.2-p15.1	yes		endometrial stromal tumour			M	Dom	fusion	T	SUZ12			"221895,ENSG00000153814,JAZF1,Q86VZ6"
KAT7	lysine acetyltransferase 7	11143	17:49788835-49827502	2		17q21.33	yes		CCRCC			E		oncogene	Mis				"11143,ENSG00000136504,KAT7,MYST2,O95251"
KIAA1549	KIAA1549	57670	7:138837906-138919418	2		7q34	yes		pilocytic astrocytoma			O	Dom	fusion	T	BRAF			"57670,ENSG00000122778,KIAA1549"
KIAA1598	KIAA1598	57698	10:116886555-117005079	2		10q25.3	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1			"57698,A0MZ66,ENSG00000187164,KIAA1598"
KNSTRN	kinetochore localized astrin/SPAG5 binding protein	90417	15:40382836-40393597	2		15q15.1	yes		SCC			E		oncogene	Mis				"90417,C15orf23,ENSG00000128944,KNSTRN,Q9Y448"
LARP4B	La ribonucleoprotein domain family member 4B	23185	10:812926-885721	2		10p15.3	yes		"CRC, glioma"			"E, O"		TSG	"F, D"				"23185,ENSG00000107929,KIAA0217,LARP4B,LARP5,Q92615"
LCP1	lymphocyte cytosolic protein 1 (L-plastin)	3936	13:46127591-46159662	2		13q14.1-q14.3	yes		NHL			L	Dom	fusion	T	BCL6			"3936,ENSG00000136167,LCP1,P13796"
LEPROTL1	leptin receptor overlapping transcript like 1	23484	8:30095513-30105862	2		8p12	yes		"lung cancer, colon cancer"			E		TSG	D				"23484,ENSG00000104660,LEPROTL1,O95214"
LHFP	lipoma HMGIC fusion partner	10186	13:39343936-39601216	2		13q12	yes		lipoma			M	Dom	fusion	T	HMGA2			"10186,ENSG00000183722,LHFP,Q9Y693"
LSM14A	"LSM14A, SCD6 homolog A (S. cerevisiae)"	26065	19:34172643-34227388	2		19q13.11	yes		Spitzoid tumour			E	Dom	fusion	T	BRAF			"26065,C19orf13,ENSG00000257103,FAM61A,LSM14A,Q8ND56"
MACC1	MET transcriptional regulator MACC1	346389	7:20140946-20161862	2		7p21.1	yes		"liver, CRC"			E		oncogene	Mis				"346389,ENSG00000183742,MACC1,Q6ZN28"
MALAT1	"metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)"	378938	11:65502644-65502817	2		11q31.1	yes		"renal cell carcinoma (childhood epithelioid), lung"			E	Dom	"oncogene, TSG, fusion"	T	TFEB			"378938,MALAT1,PRO1073,Q9UHZ2"
MB21D2	Mab-21 domain containing 2	151963	3:192798386-192917840	2		3q29	yes		lung cancer			E			Mis				"151963,C3orf59,ENSG00000180611,MB21D2,Q8IYB1"
MDS2	myelodysplastic syndrome 2	259283	1:23629556-23640550	2		1p36	yes		MDS			L	Dom	fusion	T	ETV6			"ENSG00000197880,MDS2,Q8NDY4"
MGMT	O-6-methylguanine-DNA methyltransferase	4255	10:129536253-129766997	2		10q26.3	yes		glioma			O		TSG	D				"4255,ENSG00000170430,MGMT,P16455"
MNX1	motor neuron and pancreas homeobox 1	3110	7:157005520-157010350	2		7q36	yes		AML			L	Dom	fusion	T	ETV6	yes	Currarino syndrome	"3110,ENSG00000130675,HLXB9,MNX1,P50219"
MUC16	"mucin 16, cell surface associated"	94025	19:8949776-8981138	2		19p13.2	yes		"HNSCC, melanoma"			E		oncogene	Mis				"94025,ENSG00000181143,MUC16"
MUC4	"mucin 4, cell surface associated"	4585	3:195747176-195811817	2		3q29	yes		HNSCC			E		oncogene	"Mis, O"				"4585,ENSG00000145113,MUC4,Q99102"
N4BP2	NEDD4 binding protein 2	55728	4:40097341-40154237	2		4p14	yes		lung cancer			E		TSG	D				"55728,ENSG00000078177,N4BP2,Q86UW6"
NACA	nascent-polypeptide-associated complex alpha polypeptide	4666	12:56712538-56724521	2		12q23-q24.1	yes		NHL			L	Dom	fusion	T	BCL6			"4666,ENSG00000196531,NACA,Q13765"
NBEA	neurobeachin	26960	13:34942821-35670991	2		13q13.3	yes		"large intestine carcinoma, multiple myeloma"			"E, L"			"F, T"	PVT1			"26960,ENSG00000172915,NBEA"
NCKIPSD	NCK interacting protein with SH3 domain	51517	3:48674544-48685807	2		3p21	yes		ALL			L	Dom	fusion	T	KMT2A			"51517,ENSG00000213672,NCKIPSD,Q9NZQ3"
NTHL1	nth like DNA glycosylase 1	4913	16:2093568-2097848	2		16p13.3		yes	CRC		Familial adenomatous polyposis	E		TSG	"N, S"				
OMD	osteomodulin	4958	9:92415152-92417558	2		9q22.31	yes		aneurysmal bone cyst			M	Dom	fusion	T	USP6			"4958,ENSG00000127083,OMD,Q99983"
PABPC1	poly(A) binding protein cytoplasmic 1	26986	8:100704298-100721583	2		8q22.3	yes		"HNSCC, biliary tract carcinoma"			E		"oncogene, TSG"	"Mis, F"				"26986,ENSG00000070756,P11940,PAB1,PABPC1,PABPC2"
PCBP1	poly(rC) binding protein 1	5093	2:70087744-70088814	2		2p13.3	yes		CRC			E			Mis				"5093,ENSG00000169564,PCBP1,Q15365"
PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	5378	2:189791810-189877436	2		2q31-q33		yes		"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer	E	Rec		"Mis, N"				"5378,ENSG00000064933,P54277,PMS1,PMSL1"
POLG	"DNA polymerase gamma, catalytic subunit"	5428	15:89316751-89333754	2		15q26.1	yes		CRC			E		TSG	"N, O"		yes	mitochondrial DNA depletion syndrome	"5428,ENSG00000140521,P54098,POLG"
PRDM2	PR/SET domain 2	7799	1:13715606-13816547	2		1p36.21	yes		"glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC"			"E, O"		TSG	"O, F"				"7799,ENSG00000116731,PRDM2,Q13029"
PRKCB	protein kinase C beta	5579	16:23836176-24214816	2		16p12.2-p12.1	yes		adult T-cell lymphoma-leukaemia			L			Mis				"5579,ENSG00000166501,P05771,PKCB,PRKCB,PRKCB1,PRKCB2"
PRPF40B	pre-mRNA processing factor 40 homolog B	25766	12:49630608-49644192	2		12q13.12	yes		"melanoma, colon carcinoma, MDS"			"E, L"			"F, N"				"25766,ENSG00000110844,PRPF40B,Q6NWY9"
PTPN6	"protein tyrosine phosphatase, non-receptor type 6"	5777	12:6951513-6960864	2		12p13.31	yes		DLBCL			L		TSG	Mis				"5777,ENSG00000111679,P29350,PTPN6"
PTPRD	"protein tyrosine phosphatase, receptor type D"	5789	9:8317874-8733843	2		9p24.1-p23	yes		"lung cancer, kidney cancer, HNSCC, glioblastoma"			"E, O"		TSG	"D, N, Mis"				"5789,ENSG00000153707,P23468,PTPRD"
PWWP2A	PWWP domain containing 2A	114825	5:160078155-160119388	2		5q33.3	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1			"114825,ENSG00000170234,PWWP2A,Q96N64"
RAD17	RAD17 checkpoint clamp loader component	5884	5:68677728-68677884	2		5q13.2	yes		"lymphoma, colon cancer"			"E, L"		TSG	D				
RALGDS	ral guanine nucleotide dissociation stimulator	5900	9:133098587-133121154	2		9q34.3	yes		"PMBL, Hodgkin lymphoma,"			L	Dom	fusion	T	CIITA			"5900,ENSG00000160271,Q12967,RALGDS"
RFWD3	ring finger and WD repeat domain 3	55159	16:74623928-74661449	2		16q23.1	yes	yes	lung cancer		Fanconi anemia W	E		TSG	D				"55159,ENSG00000168411,Q6PCD5,RFWD3"
RGPD3	RANBP2-like and GRIP domain containing 3	653489	2:106405219-106468288	2		2q12.2	yes		endometrioid adenocarcinoma			E			Mis				"653489,A6NKT7,ENSG00000153165,RGPD3"
RGS7	regulator of G protein signaling 7	6000	1:240776163-241355776	2		1q43	yes		melanoma			E			Mis				"6000,ENSG00000182901,P49802,RGS7"
ROBO2	roundabout guidance receptor 2	6092	3:77040786-77646055	2		3p12.3	yes		"colorectal adenocarcinoma, melanoma"			E		TSG	F				"6092,ENSG00000185008,Q9HCK4,ROBO2"
RUNDC2A	RUN domain containing 2A	92017	16:11976807-12052226	2		16p13.13	yes		"PMBL, Hodgkin lymphoma"			L	Dom	fusion	T	CIITA			"84127,ENSG00000140660,FLJ12363,Q9HA26,RUNDC2A"
S100A7	S100 calcium binding protein A7	6278	1:153457806-153459013	2		1q21.3	yes		"melanoma, T-cell lymphoma"			"E, L"		fusion	"Mis, T"	VAV1			"6278,ENSG00000143556,P31151,PSOR1,S100A7"
SEPT5	septin 5	5413	22:19714590-19722485	2		22q11.21	yes		AML			L	Dom	fusion	T	KMT2A			"2812,ENSG00000184702,PNUTL1,Q99719,SEPT5"
SEPT6	septin 6	23157	X:119618762-119693105	2		Xq24	yes		AML			L	Dom	fusion	T	KMT2A			"23157,ENSG00000125354,Q14141,SEPT6"
SEPT9	septin 9	10801	17:77320327-77498658	2		17q25	yes		AML*			L	Dom	fusion	T	KMT2A			"10801,ENSG00000184640,MSF,Q9UHD8,SEPT9"
SETD1B	SET domain containing 1B	23067	12:121819473-121830240	2		12q24.31	yes		"CRC, endometrium"			E		TSG	"D, F"				"23067,ENSG00000139718,Q9UPS6,SETD1B"
SETDB1	SET domain bifurcated 1	9869	1:150927715-150964364	2		1q21.3	yes		malignant mesothelioma			E		oncogene	"F, Mis"				"9869,ENSG00000143379,Q15047,SETDB1"
SGK1	serum/glucocorticoid regulated kinase 1	6446	6:134170268-134174807	2		6q23.2	yes		Nodular lymphocyte predominant Hodgkin lymphoma			L		oncogene	Mis				"6446,ENSG00000118515,O00141,SGK,SGK1"
SIRPA	signal regulatory protein alpha	140885	20:1895448-1937568	2		20p13	yes		"HNSCC, colorectal cancer, Lung SCC"			E		TSG	"O, F"				"140885,ENSG00000198053,P78324,PTPNS1,SIRPA"
SIX2	SIX homeobox 2	10736	2:45006170-45009110	2		2p21	yes		Wilms tumour			O		oncogene	Mis				"10736,ENSG00000170577,Q9NPC8,SIX2"
SKI	SKI proto-oncogene	6497	1:2228767-2306765	2		1p36.33-p36.32	yes		melanoma			E		oncogene	Mis				"6497,ENSG00000157933,P12755,SKI"
SMC1A	structural maintenance of chromosomes 1A	8243	X:53380103-53422600	2		Xp11.22	yes		AML			L		TSG	Mis		yes	Cornelia de Lange syndrome	"8243,ENSG00000072501,Q14683,SMC1A,SMC1L1"
SOX21	SRY-box 21	11166	13:94711219-94712049	2		13q32.1	yes		multiple myeloma			L		TSG	D				"11166,ENSG00000125285,Q9Y651,SOX21"
SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	92521	17:20096653-20314066	2		17p11.2	yes		JMML			L	Dom	fusion	T	PDGFRB			"92521,CYTSB,ENSG00000128487,Q5M775,SPECC1"
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	9901	3:8985519-9248951	2		3p25.3	yes		pilocytic astrocytoma			O	Dom	fusion	T	RAF1			"9901,ENSG00000196220,O43295,SRGAP2,SRGAP3"
STAG1	stromal antigen 1	10274	3:136338254-136630898	2		3q22.3	yes		"colorectal cancer, AML"			"E, L"		TSG	"Mis, N"				"10274,ENSG00000118007,Q8WVM7,STAG1"
TEC	tec protein tyrosine kinase	7006	4:48137416-48228614	2		4p12-p11	yes		myxoid chondrosarcoma			M		"oncogene, fusion"	T				"7006,ENSG00000135605,P42680,TEC"
TFPT	TCF3 (E2A) fusion partner (in childhood leukaemia)	29844	19:54107050-54115269	2		19q13	yes		pre-B ALL			L	Dom	fusion	T	TCF3			"29844,ENSG00000105619,P0C1Z6,TFPT"
TFRC	"transferrin receptor (p90, CD71)"	7037	3:196051942-196077099	2		3q29	yes		NHL			L	Dom	fusion	T	BCL6			"7037,ENSG00000072274,P02786,TFRC"
THRAP3	thyroid hormone receptor associated protein 3 (TRAP150)	9967	1:36282564-36304017	2		1p34.3	yes		aneurysmal bone cyst			M	Dom	fusion	T	USP6			"9967,ENSG00000054118,Q9Y2W1,THRAP3"
TNC	tenascin C	3371	9:115021157-115091018	2		9q33.1	yes		"SCC, melanoma"			E		oncogene	Mis				"3371,DFNA56,ENSG00000041982,HXB,P24821,TNC"
USP44	ubiquitin specific peptidase 44	84101	12:95518154-95534256	2		12q21.33	yes		"lung cancer, colon cancer"			E		TSG	D				"84101,ENSG00000136014,Q9H0E7,USP44"
VAV1	vav guanine nucleotide exchange factor 1	7409	19:6772808-6857107	2		19p13.3	yes		T-cell lymphoma			L		fusion	"T, O"	"THAP4, MYO1F, S100A7"			"7409,ENSG00000141968,VAV,VAV1"
VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A	143187	10:112447374-112815383	2		10q25.2	yes		colorectal			E	Dom	fusion	T	TCF7L2			"143187,ENSG00000151532,Q96AJ9,VTI1A"
