gene	cn_lower_ex	cn_upper_ex	cn_lower	cn_upper	cn_lower_diff	cn_upper_diff	chromosome	start	end
RNF4	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2479853	2515854
FAM193A	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2625432	2732565
TNIP2	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2741660	2756376
SH3BP2	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2818185	2841096
ADD1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2843857	2930073
MFSD10	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2930568	2934458
NOP14-AS1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2935546	2951067
NOP14	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2937933	2963385
GRK4	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	2963728	3040747
HTT	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	3074681	3243959
MSANTD1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	3247476	3256303
RGS12	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	3314147	3439905
HGFAC	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	3441975	3449419
DOK7	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	3463311	3494483
LRPAP1	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	3506376	3532559
LINC02171	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	3673593	3677855
ADRA2C	True	True	1.9085/1.7377	1.9085/1.7377	0.17080000000000006	0.17080000000000006	chr4	3766398	3768526
DCUN1D4	True	True	1.8667/2.0043	1.8667/2.0043	0.13760000000000017	0.13760000000000017	chr4	51843579	51916835
LRRC66	True	True	1.8667/2.0043	1.8667/2.0043	0.13760000000000017	0.13760000000000017	chr4	51993702	52017620
SGCB	True	True	1.8667/2.0043	1.8667/2.0043	0.13760000000000017	0.13760000000000017	chr4	52020706	52038482
AC093858.1	True	True	1.8667/2.0043	1.8667/2.0043	0.13760000000000017	0.13760000000000017	chr4	52044805	52046954
SPATA18	True	True	1.8667/2.0043	1.8667/2.0043	0.13760000000000017	0.13760000000000017	chr4	52051331	52097292
USP46	True	False	1.8667/2.0043	2.0137/2.0043	0.13760000000000017	0.009399999999999853	chr4	52590972	52659335
HLA-DRB5	True	False	1.9721/-0.0041	1.9721/1.9738	1.9762	0.0017000000000000348	chr6	32517343	32530287
HLA-DRB1	True	False	1.9721/0.0346	1.9721/1.9738	1.9375	0.0017000000000000348	chr6	32578769	32589848
HLA-DQA1	True	False	0.2298/1.9738	1.9721/1.9738	1.744	0.0017000000000000348	chr6	32637357	32643652
AC006455.5	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	63348861	63351773
MIR4283-2	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	63621090	63621169
AC115220.1	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	63998874	64016130
ZNF727	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64045443	64078549
ZNF735	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64207090	64220508
ZNF679	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64228474	64266931
ZNF736	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64314029	64354860
ZNF680	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64519884	64563106
ZNF107	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64666083	64711582
MIR6839	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64679064	64679176
ZNF138	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64794388	64832202
ZNF273	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64903247	64929257
ZNF117	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64971776	64991036
ERV3-1	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	64990809	65006653
CCT6P3	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	65038354	65074713
SNORA22C	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	65065999	65066132
SNORA15B-2	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	65070538	65070672
ZNF92	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	65373799	65401125
AC073107.1	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	65647010	65770810
SNORA22	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	65755526	65755659
SNORA15B-1	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	65760052	65760186
VKORC1L1	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	65873369	65955417
GUSB	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	65960684	65982314
ASL	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66075798	66093558
AC068533.4	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66087761	66152277
CRCP	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66114605	66154561
TPST1	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66205199	66360443
LINC00174	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66376044	66401338
GS1-124K5.4	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66493706	66495474
KCTD7	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66628767	66644015
RABGEF1	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66739975	66811459
GTF2IRD1P1	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66809993	66844826
TMEM248	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66921225	66958551
SBDS	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	66987677	66995601
TYW1	False	True	1.7914/1.8303	1.9446/1.8303	0.038899999999999935	0.11430000000000007	chr7	66996815	67239514
MIR4650-1	True	True	1.9446/1.8303	1.9446/1.8303	0.11430000000000007	0.11430000000000007	chr7	67114322	67114397
RXRA	True	False	1.7738/1.9353	1.9466/1.9353	0.16149999999999998	0.011300000000000088	chr9	134326580	134437019
MIR4669	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134379411	134379472
COL5A1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134641774	134844843
COL5A1-AS1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134649385	134652843
MIR3689C	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134849298	134849369
MIR3689A	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134849487	134849564
MIR3689D1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134849609	134849682
MIR3689B	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134850125	134850272
MIR3689D2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134850277	134850356
MIR3689E	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134850570	134850641
MIR3689F	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134850742	134850807
FCN2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134880812	134887520
FCN1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	134909585	134917963
OLFM1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135087739	135120913
PPP1R26-AS1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135462727	135472249
PPP1R26	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135479802	135488893
C9orf116	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135495181	135499872
MRPS2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135499984	135504673
AL161452.1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135503273	135506447
LCN1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135521438	135526532
OBP2A	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135546139	135549956
PAEP	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135561758	135566955
LINC01502	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135574951	135587112
AL354761.2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135614240	135618952
GLT6D1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135623656	135639540
LCN9	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135663322	135666103
SOHLH1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135693411	135699528
KCNT1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135702192	135793103
CAMSAP1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135808487	135907224
UBAC1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	135932969	135961380
NACC2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136006537	136095285
TMEM250	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136114581	136118863
LHX3	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136196250	136203158
QSOX2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136206333	136245841
CCDC187	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136281380	136306901
DKFZP434A062	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136322303	136327323
GPSM1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136327476	136359605
DNLZ	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136361900	136363789
CARD9	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136363956	136373681
SNAPC4	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136375577	136398797
SDCCAG3	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136401922	136410527
PMPCA	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136410570	136423761
INPP5E	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136428619	136439822
SEC16A	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136440097	136477689
NOTCH1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136494444	136545862
MIR4673	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136519568	136519626
MIR4674	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136546173	136546259
LINC01451	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136612028	136617181
HSPC324	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136648610	136660421
EGFL7	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136658856	136672678
MIR126	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136670602	136670686
AGPAT2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136673143	136687423
FAM69B	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136712570	136724050
SNHG7	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136721366	136728184
SNORA17B	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136726104	136726239
SNORA17A	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136726747	136726879
LCN10	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136739461	136742959
LCN6	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136744011	136748528
MIR6722	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136746893	136746970
LCN8	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136754386	136758226
LCN15	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136759634	136764513
TMEM141	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136791355	136793257
CCDC183	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136796363	136807721
CCDC183-AS1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136803927	136808848
RABL6	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136807967	136841177
MIR4292	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136830957	136831023
C9orf172	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136844415	136848801
PHPT1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136849094	136851022
MAMDC4	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136852367	136860797
EDF1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136862119	136866286
TRAF2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136886518	136926607
MIR4479	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136886733	136886803
FBXW5	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136940435	136944650
C8G	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136945261	136946967
LCN12	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136952328	136955399
PTGDS	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136977505	136981738
LCNL1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136982993	136985761
C9orf142	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136992418	136993976
CLIC3	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	136994635	136996803
ABCA2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137007227	137028190
FUT7	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137030174	137033010
NPDC1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137039470	137046203
ENTPD2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137048098	137054045
SAPCD2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137062124	137070588
UAP1L1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137077501	137084538
MAN1B1-AS1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137084946	137086817
MAN1B1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137086927	137109187
DPP7	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137110542	137114718
GRIN1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137139481	137168755
LRRC26	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137168758	137170051
AL929554.1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137168854	137171984
MIR3621	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137169186	137169270
TMEM210	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137170928	137172409
ANAPC2	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137174784	137188537
SSNA1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137188647	137190370
TPRN	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137191617	137200798
TMEM203	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137204082	137205638
NDOR1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137205695	137217009
RNF208	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137220247	137221581
CYSRT1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137224635	137226311
RNF224	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137227271	137229638
SLC34A3	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137230757	137236554
TUBB4B	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137241213	137243707
FAM166A	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137243585	137247770
STPG3-AS1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137250219	137253497
STPG3	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137251261	137253483
NELFB	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137255173	137273546
TOR4A	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137277749	137282641
NRARP	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137300482	137302251
EXD3	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137306905	137423262
NOXA1	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137423350	137434406
ENTPD8	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137434364	137441449
NSMF	True	True	1.7738/1.9353	1.7738/1.9353	0.16149999999999998	0.16149999999999998	chr9	137447573	137459334
